[ 2026-04-08 01:54:59,558 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-08 01:55:01,356 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-08 01:55:01,356 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-08 01:55:01,356 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-08 01:55:01,387 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-08 01:55:01,403 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-08 01:55:01,436 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-08 01:55:01,541 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 01:55:01,541 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 01:55:01,541 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 01:55:01,541 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 01:55:01,685 ] 28 root - INFO - data Validation Completed
[ 2026-04-08 01:55:01,686 ] 31 root - INFO - data Transformation started
[ 2026-04-08 01:55:01,686 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-08 01:55:01,686 ] 65 root - INFO - Starting data transformation
[ 2026-04-08 01:55:01,712 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-08 01:55:01,712 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-08 01:55:01,724 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 01:55:01,724 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 01:55:01,724 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 01:55:01,724 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 01:55:01,724 ] 35 root - INFO - data Transformation completed
